,room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude,collected
0,105,500,Private room,Manhattan,Hell's Kitchen,39,5.0,7.0,1.0,1.0,723.0,1.0,40.762099,-73.996022,2015-03-15 21:16:34.809
1,2515,2758,Private room,Manhattan,Harlem,109,4.5,2.0,1.0,2.0,78.0,2.0,40.799205,-73.953676,2015-03-16 19:20:16.167
2,2595,2845,Entire home/apt,Manhattan,Midtown,14,5.0,2.0,0.0,1.0,329.0,1.0,40.753621,-73.983774,2015-03-15 06:21:40.499
3,3330,4177,Private room,Brooklyn,Williamsburg,12,4.5,2.0,1.0,1.0,144.0,3.0,40.708558,-73.942362,2015-03-14 23:53:42.947
4,3687,4647,Entire home/apt,Brooklyn,Bedford-Stuyvesant,47,4.5,3.0,,1.0,117.0,1.0,40.6783,-73.944627,2015-03-15 20:49:11.945
5,3831,4869,Private room,Brooklyn,Clinton Hill,6,4.5,3.0,1.0,1.0,132.0,1.0,40.685138,-73.959757,2015-03-17 02:35:17.610
6,4573,5871,Entire home/apt,Brooklyn,Crown Heights,5,5.0,,2.0,,237.0,3.0,40.674376,-73.93399,2015-03-16 21:22:37.792
7,4611,5926,Private room,Manhattan,Harlem,65,4.5,1.0,1.0,,72.0,3.0,40.824861,-73.949982,2015-03-15 00:06:10.761
8,4989,7118,Entire home/apt,Manhattan,Hell's Kitchen,13,4.5,3.0,1.0,1.0,263.0,2.0,40.7626,-73.993045,2015-03-16 01:25:00.173
9,5044,7222,Entire home/apt,Manhattan,East Village,35,5.0,4.0,1.0,1.0,230.0,3.0,40.726353,-73.989371,2015-03-16 12:36:26.402
10,5099,7322,Entire home/apt,Manhattan,Murray Hill,42,4.5,2.0,1.0,1.0,263.0,3.0,40.747714,-73.975149,2015-03-17 00:17:23.606
11,5110,7337,Entire home/apt,Manhattan,Lower East Side,30,4.5,2.0,1.0,1.0,226.0,3.0,40.713942,-73.981839,2015-03-17 02:24:53.394
12,5135,7380,Private room,Manhattan,Harlem,218,5.0,4.0,1.0,1.0,117.0,1.0,40.818028,-73.947449,2015-03-15 02:26:54.015
13,5136,7378,Entire home/apt,Brooklyn,Sunset Park,1,5.0,4.0,3.0,1.5,327.0,4.0,40.661197,-73.994227,2015-03-15 02:38:45.353
